Model,R2,RMSE,MAE
Linear Regression,0.2257187517289697,1.6002053383202446,1.0349985093245604
Random Forest,0.817853314101523,0.7761344862482586,0.476797841194302
XGBoost,0.8581449401534951,0.6849340547779875,0.4637695193858374
