代號,名稱,TESG評等季度_x,TESG評等公告日_x,採用永續報告書年度_x,採用永續報告書是否驗證_x,交易所產業名_x,SASB主產業_x,SASB子產業_x,TESG等級,TESG分數,TESG升降等,TESG全產業排名,TESG_SASB主產業排名,TESG_SASB子產業排名,TESG_交易所產業排名,事件雷達轉換計分,環境構面分數,社會構面分數,公司治理構面分數,環境構面_SASB主產業排名,環境構面_SASB子產業排名,社會構面_SASB主產業排名,社會構面_SASB子產業排名,公司治理構面_SASB主產業排名,公司治理構面_SASB子產業排名,年度,TESG評等季度_y,TESG評等公告日_y,採用永續報告書年度_y,採用永續報告書是否驗證_y,交易所產業名_y,SASB主產業_y,SASB子產業_y,溫室氣體排放_分數,能源管理_分數,用水及廢水管理_分數,廢棄物及有毒物質管理_分數,環境構面揭露項_分數,人權及社區關係_分數,資料安全_分數,產品品質及安全_分數,員工資訊統計_分數,員工健康及安全_分數,社會構面揭露項_分數,控制股權與席次_分數,公平對待利害關係人_分數,公司治理資訊透明度_分數,公司治理構面揭露項_分數,管理領導_分數,商業模式和創新程度_分數,溫室氣體排放_SASB主產業排名,溫室氣體排放_SASB子產業排名,能源管理_SASB主產業排名,能源管理_SASB子產業排名,用水及廢水管理_SASB主產業排名,用水及廢水管理_SASB子產業排名,廢棄物及有毒物質管理_SASB主產業排名,廢棄物及有毒物質管理_SASB子產業排名,環境構面揭露項_SASB主產業排名,環境構面揭露項_SASB子產業排名,人權及社區關係_SASB主產業排名,人權及社區關係_SASB子產業排名,資料安全_SASB主產業排名,資料安全_SASB子產業排名,產品品質及安全_SASB主產業排名,產品品質及安全_SASB子產業排名,員工資訊統計_SASB主產業排名,員工資訊統計_SASB子產業排名,員工健康及安全_SASB主產業排名,員工健康及安全_SASB子產業排名,社會構面揭露項_SASB主產業排名,社會構面揭露項_SASB子產業排名,控制權與席次_SASB主產業排名,控制權與席次_SASB子產業排名,公平對待利害關係人_SASB主產業排名,公平對待利害關係人_SASB子產業排名,公司治理資訊透明度_SASB主產業排名,公司治理資訊透明度_SASB子產業排名,公司治理構面揭露項_SASB主產業排名,公司治理構面揭露項_SASB子產業排名,管理領導_SASB主產業排名,管理領導_SASB子產業排名,商業模式和創新程度_SASB主產業排名,商業模式和創新程度_SASB子產業排名,簽證事務所,事務所_產業市佔率_家數／上市櫃興櫃家數 %,事務所_產業市佔率_營收／上市櫃興櫃營收 %,事務所_產業市佔率_資產／上市櫃興櫃資產 %,事務所_產業市佔率排名_家數(上市櫃興櫃),事務所_產業市佔率排名_營收(上市櫃興櫃),事務所_產業市佔率排名_資產(上市櫃興櫃),CPA1_產業市佔率_家數／上市櫃興櫃家數 %,CPA1_產業市佔率_營收／上市櫃興櫃營收 %,CPA1_產業市佔率_資產／上市櫃興櫃資產 %,CPA1_產業市佔率排名_家數(上市櫃興櫃),CPA1_產業市佔率排名_營收(上市櫃興櫃),CPA1_產業市佔率排名_資產(上市櫃興櫃),CPA2_產業市佔率_家數／上市櫃興櫃家數 %,CPA2_產業市佔率_營收／上市櫃興櫃營收 %,CPA2_產業市佔率_資產／上市櫃興櫃資產 %,CPA2_產業市佔率排名_家數(上市櫃興櫃),CPA2_產業市佔率排名_營收(上市櫃興櫃),CPA2_產業市佔率排名_資產(上市櫃興櫃),事務所_產業市佔率_家數／公發家數 %,事務所_產業市佔率_營收／公發營收 %,事務所_產業市佔率_資產／公發資產 %,事務所_產業市佔率排名_家數(公發),事務所_產業市佔率排名_營收(公發),事務所_產業市佔率排名_資產(公發),CPA1_產業市佔率_家數／公發家數 %,CPA1_產業市佔率_營收／公發營收 %,CPA1_產業市佔率_資產／公發資產 %,CPA1_產業市佔率排名_家數(公發),CPA1_產業市佔率排名_營收(公發),CPA1_產業市佔率排名_資產(公發),CPA2_產業市佔率_家數／公發家數 %,CPA2_產業市佔率_營收／公發營收 %,CPA2_產業市佔率_資產／公發資產 %,CPA2_產業市佔率排名_家數(公發),CPA2_產業市佔率排名_營收(公發),CPA2_產業市佔率排名_資產(公發),市值_avg,ROA_avg
2812,台中銀,2019/12,2022/03/31,2018.0,Y,金融業,金融,商業銀行,B,54.2,-,,,,,63.14,63.05,64.07,42.87,,,,,,,2019,2019/12,2022/03/31,2018.0,Y,金融業,金融,商業銀行,86.41,37.5,87.5,41.85,,36.96,79.89,29.35,61.41,85.33,,0.54,54.89,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,52.5,50.29,53.97,1,1,1,5.0,0.23,0.58,4,32,27,6.25,10.08,9.05,1,4,2,36.29,44.92,46.61,1,1,1,3.0,2.35,1.64,11,13,19,4.5,6.26,7.17,2,5,3,43178833.0,0.3875
2812,台中銀,2018/12,2022/03/31,2017.0,Y,金融業,金融,商業銀行,B,53.43,-,,,,,61.58,60.48,61.89,43.86,,,,,,,2018,2018/12,2022/03/31,2017.0,Y,金融業,金融,商業銀行,74.18,39.01,82.97,43.41,,35.71,80.77,26.37,59.34,68.68,,2.75,56.04,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,47.5,31.13,39.63,1,1,1,1.25,0.18,0.54,19,35,30,5.0,6.99,6.92,2,3,4,32.28,25.04,32.65,1,3,1,1.49,2.46,1.59,18,15,24,3.47,4.52,5.89,5,9,3,35062754.75,0.36
2812,台中銀,2017/12,2022/03/31,2016.0,Y,金融業,金融,商業銀行,B,55.31,-,,,,,60.0,47.4,67.25,46.47,,,,,,,2017,2017/12,2022/03/31,2016.0,Y,金融業,金融,商業銀行,17.03,41.21,67.58,43.96,,35.71,85.16,65.93,67.58,57.69,,8.24,57.14,58.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,48.72,26.27,39.78,1,3,1,3.85,1.64,4.12,4,12,8,1.28,0.19,0.56,18,38,32,35.25,22.05,32.87,1,3,2,2.8,1.47,3.94,9,18,10,1.4,2.35,1.55,19,15,24,32325846.25,0.3425
2812,台中銀,2016/12,2022/03/31,2015.0,N,金融業,金融,商業銀行,B,52.97,-,,,,,66.67,63.76,53.06,50.07,,,,,,,2016,2016/12,2022/03/31,2015.0,N,金融業,金融,商業銀行,78.8,45.11,86.41,46.74,,36.96,42.39,63.04,64.67,58.15,,7.07,56.52,74.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,47.5,24.12,39.16,1,3,1,3.75,1.75,4.35,3,14,9,2.5,5.72,3.47,9,7,12,36.67,20.96,32.83,1,3,2,2.34,1.12,3.05,12,19,12,1.87,4.91,2.9,17,10,14,29330516.75,0.355
2816,旺旺保,2022/12,2022/11/01,2021.0,Y,金融業,金融,保險,B+,63.27,↓,,,,,99.89,63.39,63.79,62.76,,,,,,,2022,2022/12,2022/11/01,2021.0,Y,金融業,金融,保險,91.38,30.46,90.23,36.21,67.35,35.06,96.55,5.17,10.92,98.28,66.97,81.03,53.45,51.15,65.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安侯建業聯合,20.51,36.09,28.85,2,2,2,1.28,0.08,0.01,20,41,46,3.85,0.57,1.48,3,27,23,20.0,34.37,31.41,3,2,2,0.48,0.05,0.01,49,62,71,2.39,0.6,0.81,8,30,31,3815311.25,
2816,旺旺保,2021/12,2022/03/31,2020.0,Y,金融業,金融,保險,A,64.21,-,,,,,99.87,61.62,63.12,65.89,,,,,,,2021,2021/12,2022/03/31,2020.0,Y,金融業,金融,保險,80.11,33.52,85.23,38.07,68.78,35.23,94.32,7.95,46.02,66.48,64.49,90.34,55.11,50.57,67.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安侯建業聯合,23.08,38.17,29.12,2,2,2,1.28,0.1,0.01,17,44,48,5.13,0.65,1.73,2,26,20,20.93,35.53,31.31,2,2,2,0.51,0.05,0.01,45,58,68,3.06,0.61,0.94,5,30,30,4491725.75,2.1825
2816,旺旺保,2020/12,2022/03/31,2019.0,N,金融業,金融,保險,A,63.99,-,,,,,100.0,60.84,64.81,64.06,,,,,,,2020,2020/12,2022/03/31,2019.0,N,金融業,金融,保險,69.44,36.67,91.67,41.11,64.18,36.11,96.11,6.11,56.11,73.89,61.85,85.0,52.22,56.67,62.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安侯建業聯合,22.5,35.84,27.67,2,2,2,1.25,0.08,0.01,18,38,42,6.25,10.82,7.78,1,3,2,21.77,36.04,31.17,3,2,2,2.56,2.02,3.76,11,15,9,4.1,9.93,5.54,3,3,4,4245624.0,3.0233333333333334
2816,旺旺保,2019/12,2022/03/31,2018.0,N,金融業,金融,保險,A,65.06,-,,,,,66.67,60.19,64.13,67.19,,,,,,,2019,2019/12,2022/03/31,2018.0,N,金融業,金融,保險,60.33,37.5,98.37,41.85,,36.96,96.2,1.63,52.72,73.37,,90.76,54.89,60.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安侯建業聯合,22.5,35.83,28.15,2,2,2,1.25,0.08,0.01,17,39,42,5.0,10.4,7.71,4,3,3,22.58,35.74,32.12,3,2,2,3.0,2.04,3.88,11,15,10,3.5,9.47,5.48,8,3,5,4363018.0,2.8024999999999998
2816,旺旺保,2018/12,2022/03/31,2017.0,N,金融業,金融,保險,A,65.22,↑,,,,,61.91,63.78,65.42,67.21,,,,,,,2018,2018/12,2022/03/31,2017.0,N,金融業,金融,保險,76.37,39.01,98.35,43.41,,35.71,97.8,1.65,57.14,77.47,,88.46,56.04,62.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安侯建業聯合,25.0,30.84,27.83,2,2,2,3.75,0.58,1.54,4,28,24,3.75,6.67,7.34,4,4,2,23.62,32.62,32.4,2,1,2,4.46,2.23,4.87,3,17,7,2.97,7.44,5.28,9,3,4,4096818.0,2.42
2816,旺旺保,2017/12,2022/03/31,2016.0,N,金融業,金融,保險,B+,61.49,-,,,,,49.95,66.35,59.07,68.72,,,,,,,2017,2017/12,2022/03/31,2016.0,N,金融業,金融,保險,91.76,41.21,93.96,43.96,,35.71,85.16,2.75,53.3,58.79,,90.66,57.14,64.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安侯建業聯合,23.08,33.91,27.26,2,1,2,5.13,0.67,1.85,2,27,22,3.85,7.35,7.15,4,4,4,27.87,35.33,33.15,2,1,1,4.67,2.5,5.12,2,14,4,2.8,7.43,5.1,9,2,5,3505854.0,2.405
