代號,名稱,年度,TESG分數,環境構面分數,社會構面分數,公司治理構面分數,市值_avg,ROA_avg
2851,中再保,2017,56.49,57.7,60.36,52.65,8708234.25,2.5175
2851,中再保,2016,61.52,69.06,62.67,58.5,8040532.75,1.3225
2852,第一保,2022,49.99,62.8,39.3,56.4,4690613.75,2.1625
2852,第一保,2021,53.61,60.31,53.44,52.02,4076994.25,1.9425
2852,第一保,2020,56.76,64.58,58.93,52.74,3986645.25,0.8066666666666666
2852,第一保,2019,51.95,62.03,46.37,54.42,4378157.5,2.6825
2852,第一保,2018,51.86,46.88,48.65,56.08,4366863.5,2.5775
2852,第一保,2017,52.62,50.9,51.12,54.44,4171107.75,1.96
2852,第一保,2016,54.83,59.48,54.69,53.74,3561252.5,1.8925
2855,統一證,2022,57.95,69.22,64.15,49.34,26259551.75,0.685
2855,統一證,2021,61.33,67.37,66.84,54.72,34564081.5,2.425
2855,統一證,2020,59.52,56.13,64.6,55.78,21024665.0,2.1533333333333333
2855,統一證,2019,57.12,53.67,70.59,45.72,18950425.25,2.1775
2855,統一證,2018,58.2,56.77,72.08,45.91,19274808.25,1.335
2855,統一證,2017,54.96,33.59,67.37,49.21,19191040.5,2.0375
2855,統一證,2016,57.39,36.04,72.1,49.52,16082922.25,0.9125
2867,三商壽,2022,53.96,73.09,56.88,46.31,22575338.0,
2867,三商壽,2021,61.29,74.65,71.45,48.53,23689262.75,0.14
2867,三商壽,2020,62.45,75.67,72.45,49.87,21580449.5,0.08
2867,三商壽,2019,60.77,76.09,67.97,50.21,26210279.5,0.2025
2867,三商壽,2018,60.49,80.67,65.42,50.73,31004580.5,0.13
2867,三商壽,2017,59.92,64.91,68.72,50.59,28950002.25,0.34
2867,三商壽,2016,60.35,65.39,70.76,49.53,25261330.5,0.2875
2880,華南金,2022,63.55,59.93,70.84,57.83,307323940.25,0.305
2880,華南金,2021,69.08,71.16,77.4,60.95,256447163.75,0.345
2880,華南金,2020,67.37,74.47,72.33,60.99,231164822.0,0.17333333333333334
2880,華南金,2019,68.66,75.89,71.87,65.97,246862401.5,0.3875
2880,華南金,2018,64.43,59.86,72.37,62.26,201516128.75,0.35500000000000004
2880,華南金,2017,64.81,77.48,71.84,66.8,182826471.0,0.295
2880,華南金,2016,61.09,60.7,76.0,67.19,165937032.5,0.3725
2881,富邦金,2022,68.14,81.34,69.45,64.42,731347027.0,0.5925
2881,富邦金,2021,70.52,87.53,70.68,65.95,785922851.0,1.085
2881,富邦金,2020,74.56,84.97,75.28,71.19,435183967.75,0.625
2881,富邦金,2019,68.88,80.68,73.56,65.7,467675657.25,0.48
2881,富邦金,2018,68.64,84.9,71.55,69.68,512063910.0,0.505
2881,富邦金,2017,55.19,72.74,44.29,67.48,501062787.0,0.48250000000000004
2881,富邦金,2016,54.87,64.58,56.15,68.55,450150612.0,0.4975
2882,國泰金,2022,64.5,73.13,70.91,57.87,658151293.5,0.3775
2882,國泰金,2021,63.08,75.95,70.09,53.33,731714230.75,0.9225
2882,國泰金,2020,64.96,80.51,65.92,60.01,520183795.25,0.4725
2882,國泰金,2019,63.79,78.54,65.81,59.31,544779873.75,0.42500000000000004
2882,國泰金,2018,65.52,82.83,70.13,60.2,646377154.5,0.4575
2882,國泰金,2017,53.19,67.38,45.06,56.91,629730901.25,0.4225
2882,國泰金,2016,60.36,78.74,55.97,60.67,508338884.5,0.355
2883,凱基金,2022,56.23,75.32,70.38,38.34,249317528.75,0.4275
2883,凱基金,2021,58.39,81.55,74.41,37.72,217091755.75,0.9325
2883,凱基金,2020,64.0,72.92,70.9,55.38,129845616.0,0.365
2883,凱基金,2019,61.13,73.34,71.11,49.12,144951424.25,0.4675
2883,凱基金,2018,54.22,58.62,72.9,36.02,159258405.75,0.405
2883,凱基金,2017,55.01,31.74,78.55,39.6,136358141.5,0.4675
2883,凱基金,2016,47.0,47.35,58.71,36.21,121710425.75,0.385
2884,玉山金,2022,59.76,54.12,63.03,58.24,384888227.5,0.2925
2884,玉山金,2021,60.83,53.72,69.99,54.33,346084637.5,0.4275
2884,玉山金,2020,65.71,55.64,75.99,58.94,311900535.0,0.435
2884,玉山金,2019,65.55,66.51,73.73,57.82,291983425.0,0.5425
2884,玉山金,2018,65.07,64.19,72.31,58.69,219355246.25,0.52
2884,玉山金,2017,62.23,68.41,64.48,58.56,179024346.25,0.475
2884,玉山金,2016,62.03,84.55,59.76,58.22,152880095.0,0.4775
2885,元大金,2022,67.25,80.85,73.14,58.31,268806255.5,0.5175
2885,元大金,2021,65.64,82.8,71.49,55.83,301463542.25,0.875
2885,元大金,2020,60.78,82.56,62.33,53.69,212650198.75,0.62
2885,元大金,2019,53.15,79.15,45.08,53.74,218745808.25,0.6275
2885,元大金,2018,50.25,70.99,41.99,52.38,172700485.25,0.625
2885,元大金,2017,48.77,81.19,42.7,56.5,158904436.75,0.48500000000000004
2885,元大金,2016,53.36,80.98,56.32,56.59,135284745.0,0.4875
2886,兆豐金,2022,64.08,68.71,68.03,59.26,480201257.0,0.275
2886,兆豐金,2021,69.09,73.99,67.71,69.07,449984143.75,0.4
2886,兆豐金,2020,68.66,78.33,68.22,66.53,397624824.75,0.38
2886,兆豐金,2019,65.59,78.33,68.61,61.89,402214765.25,0.5225
2886,兆豐金,2018,65.77,74.9,69.54,62.54,358865329.75,0.525
2886,兆豐金,2017,61.55,56.46,72.37,60.2,331835681.25,0.5125
2886,兆豐金,2016,67.9,68.24,74.08,62.84,313645918.0,0.42500000000000004
2887,台新新光金,2022,64.69,74.54,68.58,58.57,191180182.25,0.28
2887,台新新光金,2021,63.06,64.55,65.53,60.41,183848191.75,0.5925
2887,台新新光金,2020,64.42,67.32,67.34,61.0,137825425.75,0.43
2887,台新新光金,2019,64.97,63.86,67.27,63.79,149518193.75,0.5175
2887,台新新光金,2018,59.38,44.72,68.84,54.57,144079625.25,0.52
2887,台新新光金,2017,63.45,54.3,72.78,59.65,130557107.5,0.52
2887,台新新光金,2016,63.45,51.74,74.43,60.4,108415782.0,0.52
2889,國票金,2022,49.25,59.12,62.24,34.82,42282425.5,0.33
2889,國票金,2021,45.89,51.02,50.55,40.29,47907659.25,0.9275
2889,國票金,2020,52.44,51.76,54.91,50.36,33548911.75,0.73
2889,國票金,2019,50.23,45.32,53.59,48.44,30574035.75,0.68
2889,國票金,2018,53.7,54.3,53.77,53.47,28891458.25,0.5425
2889,國票金,2017,56.61,58.52,54.24,58.28,25843640.0,0.6
2889,國票金,2016,53.95,34.21,60.57,53.06,21828587.25,0.6
2890,永豐金,2022,68.89,53.63,78.26,64.31,196089566.25,0.425
2890,永豐金,2021,70.21,55.11,80.86,65.75,159626302.5,0.4725
2890,永豐金,2020,64.11,34.87,80.79,59.85,124545146.75,0.3825
2890,永豐金,2019,56.78,32.68,81.3,54.28,139620181.5,0.47500000000000003
2890,永豐金,2018,49.01,32.46,71.9,42.21,119420685.0,0.385
2890,永豐金,2017,58.64,32.77,72.14,53.06,101896032.0,0.34
2890,永豐金,2016,63.46,60.91,73.79,54.69,98391729.5,0.355
2891,中信金,2022,67.54,73.72,78.63,57.75,470602292.0,0.3675
2891,中信金,2021,69.31,78.94,84.43,56.0,456473255.0,0.5725
2891,中信金,2020,65.5,75.87,79.46,50.06,372148777.5,0.4325
2891,中信金,2019,62.37,77.93,73.67,49.67,413336166.75,0.47
2891,中信金,2018,61.15,80.57,74.14,46.33,420891250.25,0.4625
2891,中信金,2017,48.3,71.3,46.11,47.02,381653560.0,0.4875
2891,中信金,2016,57.7,79.96,55.68,53.74,320968288.75,0.3825
2892,第一金,2022,73.22,62.96,82.24,67.67,350680498.75,0.335
2892,第一金,2021,76.43,81.64,81.81,70.15,296572786.5,0.365
2892,第一金,2020,72.83,77.38,75.28,69.41,266240052.0,0.3175
2892,第一金,2019,69.09,77.31,70.76,67.6,277170253.5,0.41000000000000003
2892,第一金,2018,67.3,74.39,70.43,64.46,250765900.0,0.415
2892,第一金,2017,61.1,53.78,53.94,69.54,235740455.5,0.4325
2892,第一金,2016,66.09,76.19,61.45,69.64,195335212.75,0.4375
2897,王道銀行,2022,63.08,76.22,62.21,60.45,24337744.25,0.455
2897,王道銀行,2021,63.37,77.91,60.7,62.02,20285737.0,0.36
2897,王道銀行,2020,72.77,81.99,74.1,69.16,17590928.5,0.2425
2897,王道銀行,2019,67.08,81.8,76.41,57.55,19038617.25,0.255
2897,王道銀行,2018,61.36,62.54,78.32,45.78,20184795.25,0.2225
2897,王道銀行,2017,59.11,63.47,66.6,51.14,21599958.75,0.2875
2897,王道銀行,2016,56.12,61.11,63.25,48.31,18777424.75,0.39
5876,上海商銀,2022,69.83,70.31,78.94,61.39,224399517.5,0.5549999999999999
5876,上海商銀,2021,64.85,59.78,73.99,57.84,200383674.25,0.5575
5876,上海商銀,2020,62.72,59.26,74.24,53.11,184698063.75,0.535
5876,上海商銀,2019,60.61,63.46,72.68,48.85,224198256.75,0.635
5876,上海商銀,2018,54.0,63.98,71.43,35.48,150163753.75,0.6225
5876,上海商銀,2017,54.92,65.53,73.19,35.48,133294888.25,0.6125
5876,上海商銀,2016,47.06,48.27,57.25,37.43,113108518.75,0.625
5880,合庫金,2022,69.11,53.35,74.53,68.27,374764516.25,0.28
5880,合庫金,2021,70.74,69.14,76.61,65.81,303023557.75,0.3075
5880,合庫金,2020,66.99,77.83,61.92,68.8,259387861.0,0.2675
5880,合庫金,2019,59.29,42.26,59.52,63.52,260134556.25,0.3025
